"","depth","age","Grassland","Woodland","Sporormiella","Zeamays","Charcoal(cc)"
"1","0",-59,"40.33","59.67","2.67","0","0.22"
"2","2.5",-53,"48.33","51.67","1.67","0","0"
"3","5",-46,"37","63","2","0","0"
"4","7.5",212,"38.33","61.67","1.67","0","0"
"5","10",469,"29","71","2.33","0","0"
"6","12.5",535,"41.33","58.67","3","0","1.2"
"7","15",600,"48.33","51.67","3.33","0","0.629"
"8","17.5",670,"46.33","53.67","4","0","0.938"
"9","20",740,"43","57","5","0","1361"
"10","22.5",810,"41.67","58.33","5.33","0.33","0.399"
"11","25",881,"43.19","56.81","5.32","0","0.353"
"12","27.5",945,"43","57","5","0","0.067"
"13","30",1010,"42.52","57.48","4.65","0","0.587"
"14","32.5",1050,"43.67","56.33","4.67","0","1.27"
"15","35",1142,"47.67","52.33","4","0","0"
"16","37.5",1205,"43","57","5.67","0","0.486"
"17","40",1267,"49.33","50.67","6","0.33","0.903"
"18","42.5",1318,"36","64","4.33","0","1757"
"19","45",1368,"36.67","63.33","2.67","0","1476"
"20","47.5",1406,"35.12","64.88","3.68","0","0.184"
"21","50",1445,"34.67","65.33","2.33","0","0.107"
"22","52.5",1483,"40","60","1.67","0","0"
"23","55",1521,"31.67","68.33","1.33","0.33","0.86"
"24","57.5",1561,"36.33","63.67","2.67","0","0.11"
"25","60",1601,"29","71","1.67","0.33","0.255"
"26","62.5",1640,"28.33","71.67","1.33","0.33","0.292"
"27","65",1680,"33.33","66.67","0","0","0.414"
"28","67.5",1719,"29.24","70.76","1","0.33","3019"
"29","70",1758,"32.23","67.77","1.99","0.33","0.071"
"30","72.5",1797,"36.21","63.79","1.66","0.33","0.89"
"31","75",1836,"30","70","1.67","0.33","0.471"
"32","77.5",1875,"36.21","63.79","1","0.66","0.367"
"33","80",1914,"29.57","70.43","1.33","0","0.591"
"34","82.5",1953,"30.9","69.1","1.99","0.33","0.397"
"35","85",1992,"37.54","62.46","1.33","0","0"
"36","87.5",2030,"37.21","62.79","1","0","0.234"
"37","90",2068,"27.33","72.67","0.67","0","0.104"
"38","92.5",2106,"55.67","44.33","1","0","0.169"
"39","95",2144,"48.03","51.97","1.97","0","0.252"
"40","97.5",2183,"31.33","68.67","1.33","0","1866"
"41","100",2222,"37.29","62.71","1.98","0","1634"
"42","102.5",2261,"27.67","72.33","3.33","0.33","0.893"
"43","105",2299,"37.21","62.79","1.66","0.33","0.446"
"44","107.5",2338,"27.33","72.67","1.33","0","1592"
"45","110",2377,"29.47","70.53","0.99","0","0.152"
"46","112.5",2415,"31.33","68.67","0.67","0","0.879"
"47","115",2454,"39.2","60.8","0.66","0","0.854"
"48","117.5",2493,"40.53","59.47","1.33","0.66","0.151"
"49","120",2533,"40.33","59.67","1.33","0","1254"
"50","122.5",2571,"39.33","60.67","1.67","0","1782"
"51","125",2609,"41.25","58.75","0.99","0.33","0.194"
"52","127.5",2650,"46.15","53.85","3.34","0","0.489"
"53","130",2690,"37","63","0.67","0","0.101"
"54","132.5",2727,"40.33","59.67","1","0.33","0.317"
"55","135",2765,"47.51","52.49","2.33","0","0"
"56","137.5",2804,"47.67","52.33","2","0.33","0.343"
"57","140",2842,"40.67","59.33","1.33","0","0.108"
"58","142.5",2881,"39.27","60.73","0.66","0","1141"
"59","145",2919,"39.2","60.8","1.66","0","0.412"
"60","147.5",2959,"40.13","59.87","0.66","0","0.396"
"61","150",2999,"43.62","56.38","2.01","0","0.275"
"62","152.5",3046,"42.72","57.28","1.32","0","0"
"63","155",3077,"39.67","60.33","2.67","0","0.897"
"64","157.5",3115,"44.3","55.7","0.34","0","0.171"
"65","160",3154,"38.21","61.79","0","0","0.686"
"66","162.5",3192,"40.86","59.14","1.99","0","0.214"
"67","165",3230,"41.2","58.8","2.66","0","0.206"
"68","167.5",3268,"41.14","58.86","2.68","0","0.306"
"69","170",3306,"43.19","56.81","1.33","0","0.066"
"70","172.5",3345,"41.53","58.47","2.33","0","0.579"
"71","175",3384,"43.48","56.52","2.34","0","0.683"
"72","177.5",3422,"50.33","49.67","1.33","0.33","0.094"
"73","180",3460,"45.18","54.82","1.33","0.33","0.188"
